PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect URL,Redirect URL code,Redirect URL patch,Redirect URL patch status,Redirect chain URLs,Redirect chain URLs codes,Is redirect loop,No. of all inlinks,No. of redirect inlinks,First found at
0,https://tranvas.com/en/pricing,,,false,307,0,https://tranvas.com/pricing,200,,,https://tranvas.com/pricing,200,false,1,0,https://tranvas.com/pricing
0,http://tranvas.com/,,,false,302,0,https://tranvas.com/,200,,,https://tranvas.com/,200,false,0,0,
0,https://tranvas.com/en/solutions/personalgrowth,,,false,307,0,https://tranvas.com/solutions/personalgrowth,200,,,https://tranvas.com/solutions/personalgrowth,200,false,1,0,https://tranvas.com/solutions/personalgrowth
0,https://tranvas.com/en/features/job,,,false,307,0,https://tranvas.com/features/job,200,,,https://tranvas.com/features/job,200,false,1,0,https://tranvas.com/features/job
0,https://tranvas.com/en/register,,,false,307,0,https://tranvas.com/register,200,,,https://tranvas.com/register,200,false,1,0,https://tranvas.com/register
0,https://tranvas.com/en/terms-of-service,,,false,307,0,https://tranvas.com/terms-of-service,200,,,https://tranvas.com/terms-of-service,200,false,1,0,https://tranvas.com/terms-of-service
0,https://tranvas.com/en/solutions/second-brain,,,false,307,0,https://tranvas.com/solutions/second-brain,200,,,https://tranvas.com/solutions/second-brain,200,false,1,0,https://tranvas.com/solutions/second-brain
0,https://tranvas.com/en/resources/stories,,,false,307,0,https://tranvas.com/resources/stories,200,,,https://tranvas.com/resources/stories,200,false,1,0,https://tranvas.com/resources/stories
0,https://tranvas.com/en/solutions/freelancer,,,false,307,0,https://tranvas.com/solutions/freelancer,200,,,https://tranvas.com/solutions/freelancer,200,false,1,0,https://tranvas.com/solutions/freelancer
0,https://tranvas.com/en/features/journal,,,false,307,0,https://tranvas.com/features/journal,200,,,https://tranvas.com/features/journal,200,false,1,0,https://tranvas.com/features/journal
0,https://tranvas.com/en/resources/changelog,,,false,307,0,https://tranvas.com/resources/changelog,200,,,https://tranvas.com/resources/changelog,200,false,1,0,https://tranvas.com/resources/changelog
0,http://www.tranvas.com/,,,false,302,0,https://www.tranvas.com/,200,,,https://www.tranvas.com/,200,false,0,0,
0,https://tranvas.com/en/solutions/student,,,false,307,0,https://tranvas.com/solutions/student,200,,,https://tranvas.com/solutions/student,200,false,1,0,https://tranvas.com/solutions/student
0,https://tranvas.com/en,,,false,307,0,https://tranvas.com/,200,,,https://tranvas.com/,200,false,2,0,https://tranvas.com/
0,https://tranvas.com/en/features/neural-os,,,false,307,0,https://tranvas.com/features/neural-os,200,,,https://tranvas.com/features/neural-os,200,false,1,0,https://tranvas.com/features/neural-os
0,https://tranvas.com/en/resources/guide,,,false,307,0,https://tranvas.com/resources/guide,200,,,https://tranvas.com/resources/guide,200,false,1,0,https://tranvas.com/resources/guide
0,https://tranvas.com/en/solutions/finance-mastery,,,false,307,0,https://tranvas.com/solutions/finance-mastery,200,,,https://tranvas.com/solutions/finance-mastery,200,false,1,0,https://tranvas.com/solutions/finance-mastery
0,https://tranvas.com/en/features/finance,,,false,307,0,https://tranvas.com/features/finance,200,,,https://tranvas.com/features/finance,200,false,1,0,https://tranvas.com/features/finance
0,https://tranvas.com/en/solutions/deep-work,,,false,307,0,https://tranvas.com/solutions/deep-work,200,,,https://tranvas.com/solutions/deep-work,200,false,1,0,https://tranvas.com/solutions/deep-work
0,https://tranvas.com/en/features/habit,,,false,307,0,https://tranvas.com/features/habit,200,,,https://tranvas.com/features/habit,200,false,1,0,https://tranvas.com/features/habit
0,https://tranvas.com/en/features,,,false,307,0,https://tranvas.com/features,200,,,https://tranvas.com/features,200,false,1,0,https://tranvas.com/features
